epic,baseline,dataset,n_rows,mean_tas
5,lpm_randomPertEmb,adamson,12,0.21366537545789685
5,lpm_randomPertEmb,rpe1,231,-0.027572546852157803
5,lpm_randomPertEmb,k562,163,-0.03530558871870811
5,lpm_k562PertEmb,adamson,12,0.23841629377900894
5,lpm_k562PertEmb,rpe1,231,-0.012549786992686617
5,lpm_k562PertEmb,k562,163,-0.008095835299701554
5,lpm_scgptGeneEmb,adamson,12,-0.24560272008693115
5,lpm_scgptGeneEmb,rpe1,231,-0.02900406417622296
5,lpm_scgptGeneEmb,k562,163,0.03001629658829039
5,lpm_randomGeneEmb,adamson,12,-0.11765404138376145
5,lpm_randomGeneEmb,rpe1,231,-0.0030209959173949927
5,lpm_randomGeneEmb,k562,163,0.018294978176528892
5,lpm_scFoundationGeneEmb,adamson,12,-0.06958699470471985
5,lpm_scFoundationGeneEmb,rpe1,231,0.03873010690596243
5,lpm_scFoundationGeneEmb,k562,163,-0.010830977202183937
5,lpm_selftrained,adamson,12,-0.3731568622268593
5,lpm_selftrained,rpe1,231,-0.00866048067179143
5,lpm_selftrained,k562,163,0.027914130973499034
5,lpm_gearsPertEmb,adamson,12,0.11366742648596867
5,lpm_gearsPertEmb,rpe1,231,0.0628489753862515
5,lpm_gearsPertEmb,k562,163,0.03231251754741765
5,lpm_rpe1PertEmb,adamson,12,-0.3731558388589586
5,lpm_rpe1PertEmb,rpe1,231,-0.02646414881420167
5,lpm_rpe1PertEmb,k562,163,0.015851557226977054
