dataset,baseline,top_k,r_mean,r_ci_low,r_ci_high,l2_mean,l2_ci_low,l2_ci_high
adamson,lpm_selftrained,0.05,0.941,0.9,0.966,2.09,1.66,2.7
adamson,lpm_scgptGeneEmb,0.05,0.935,0.892,0.96,2.21,1.78,2.83
adamson,lpm_scFoundationGeneEmb,0.05,0.933,0.887,0.959,2.26,1.82,2.9
adamson,lpm_randomGeneEmb,0.05,0.932,0.885,0.959,2.3,1.86,2.95
adamson,lpm_rpe1PertEmb,0.05,0.932,0.886,0.96,2.26,1.78,2.92
adamson,lpm_k562PertEmb,0.05,0.932,0.886,0.961,2.23,1.77,2.88
adamson,lpm_gearsPertEmb,0.05,0.772,0.562,0.908,3.83,2.7,5.38
adamson,lpm_randomPertEmb,0.05,0.597,0.353,0.775,5.69,4.28,7.33
k562,lpm_selftrained,0.05,0.705,0.677,0.734,3.54,3.35,3.75
k562,lpm_scgptGeneEmb,0.05,0.666,0.637,0.696,3.84,3.62,4.07
k562,lpm_k562PertEmb,0.05,0.657,0.625,0.689,3.85,3.63,4.07
k562,lpm_scFoundationGeneEmb,0.05,0.656,0.627,0.687,3.96,3.73,4.19
k562,lpm_randomGeneEmb,0.05,0.649,0.62,0.68,4.04,3.8,4.28
k562,lpm_rpe1PertEmb,0.05,0.633,0.599,0.667,3.97,3.74,4.21
k562,lpm_gearsPertEmb,0.05,0.461,0.423,0.497,5.14,4.85,5.43
k562,lpm_randomPertEmb,0.05,0.307,0.278,0.339,5.82,5.54,6.09
rpe1,lpm_selftrained,0.05,0.792,0.773,0.812,4.56,4.4,4.73
rpe1,lpm_scgptGeneEmb,0.05,0.759,0.738,0.782,5.0,4.81,5.21
rpe1,lpm_rpe1PertEmb,0.05,0.759,0.736,0.783,4.92,4.73,5.1
rpe1,lpm_k562PertEmb,0.05,0.746,0.722,0.77,5.08,4.89,5.28
rpe1,lpm_scFoundationGeneEmb,0.05,0.742,0.718,0.767,5.22,5.01,5.44
rpe1,lpm_randomGeneEmb,0.05,0.738,0.714,0.764,5.34,5.12,5.57
rpe1,lpm_gearsPertEmb,0.05,0.636,0.599,0.67,7.14,6.88,7.45
rpe1,lpm_randomPertEmb,0.05,0.541,0.507,0.575,8.19,7.9,8.52
